Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Other,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Balloon,,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,0-750,Conductor - Insulated Secondary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Other,Urban,<0.25,Fire Agency,12000,Lightning Arrestor,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Agriculture,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor - Primary,,Weather - High Winds,,,,,
Vegetation,Conifer Forest,<3 meters of linear travel,Cal Fire,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Barren/Other,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Transformer,Overhead,Y,Equipment - PG&E,Transformer failure,,,,,,,
Vegetation,Herbaceous,0.26-9.99,Fire Agency,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Herbaceous,0.26-9.99,Cal Fire,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Conifer Forest,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Other,Hardwood Woodland,Structure-only,Cal Fire,0-750,Service Drop,Overhead,N,Equipment - PG&E,Voltage Regulator failure,,,,,,,
Vegetation,Herbaceous,<3 meters of linear travel,Self Extinguished,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Other,Human Error,,,,,
Vegetation,Hardwood Woodland,<3 meters of linear travel,Cal Fire,12000,Transformer,Padmounted,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Building,Agriculture,Structure-only,Fire Agency,0-750,Conductor - Underground Service,Underground,N,Equipment - PG&E,Conductor failure-all,,,,,,,
Building,Urban,<0.25,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Shrub,<3 meters of linear travel,Unknown,70000,Conductor - Transmission,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Other,Urban,0.26-9.99,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Shrub,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Conifer Forest,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Urban,<3 meters of linear travel,Fire Agency,0-750,Conductor - Underground Service,Underground,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,21000,Recloser,Overhead,Y,Equipment - PG&E,Recloser failure,,,,,,,
Vegetation,Hardwood Woodland,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Insulator failure,,,,,,,
Vegetation,Wetland,<3 meters of linear travel,Fire Agency,21000,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Other,Human Error,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,<0.25,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<0.25,Self Extinguished,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Building,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<0.25,Customer,21000,Transformer,Overhead,Y,Contact from Object,,Nest,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Other,Herbaceous,<3 meters of linear travel,Utility - PG&E,21000,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Herbaceous,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Agriculture,<0.25,Utility - PG&E,500000,Other,Overhead,N,Equipment - PG&E,Other,,Other,,,,,
Vegetation,Hardwood Woodland,<0.25,Utility - PG&E,0-750,Splice/Clamp/Connector,Overhead,N,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Herbaceous,<0.25,Fire Agency,12000,Switch,Overhead,Y,Equipment - PG&E,Switch failure,,,,,,,
Other,Herbaceous,0.26-9.99,Self Extinguished,12000,Fuse,Overhead,Y,Equipment - PG&E,Fuse failure - all,,,,,,,
Other,Herbaceous,<3 meters of linear travel,Utility - PG&E,115000,Insulator,Overhead,Y,Equipment - PG&E,Other,,Other,,,,,
Other,Herbaceous,<0.25,Fire Agency,21000,Crossarm,Overhead,Y,Contamination,,,Other,,,,,
Vegetation,Urban,<0.25,Fire Agency,21000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,N,Contact from Object,,Vegetation,,,,,,
Vegetation,Herbaceous,<3 meters of linear travel,Fire Agency,0-750,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Other,Human Error,,,,,
Vegetation,Urban,<3 meters of linear travel,Customer,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Other,Urban,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Guy/Span Wire failure,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<3 meters of linear travel,Cal Fire,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Other,Herbaceous,<0.25,Fire Agency,12000,Riser,Overhead,Y,Contact from Object,,Animal,,,,,,
Other,Hardwood Forest,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Other,Herbaceous,<0.25,Cal Fire,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Other,Urban,0.26-9.99,Fire Agency,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Other,Conifer Forest,<3 meters of linear travel,Fire Agency,60000,Crossarm,Overhead,Y,Equipment - PG&E,Tie wire failure,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,21000,Jumper,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Conifer Forest,<0.25,Unknown,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,12000,Splice/Clamp/Connector,Overhead,Y,Equipment - PG&E,Splice/Clamp/Connector,,,,,,,
Vegetation,Herbaceous,0.26-9.99,Cal Fire,21000,Pole,Overhead,Y,Equipment - PG&E,Pole failure,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<0.25,Customer,12000,Fuse,Overhead,Y,Contact from Object,,Animal,,,,,,
