Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Transformer,Overhead,No,Contact From Object,,Other,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Other,,,Other,Fire Agency,12 kV,,,
Other,Rural,Less Than .25 Acres,,,Lightning arrester,Overhead,Yes,Contact From Object,,Other,Other,Fire Agency,12 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,66 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Unknown,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Other,,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Other,,,Other,Self Extinguished,16 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Vandalism/Theft,,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Vandalism/Theft,,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Fire Agency,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Splice/Clamp/Connector,,Human Error,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12 kV,,,
Vegetation,Rural,10 - 99 Acres,,,Other,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,66 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Lightning Arrestor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Self Extinguished,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Other,Fire Agency,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,33 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Other,,Unknown,Unknown,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Other,Unknown,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Unknown,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,4 kV,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Unknown,33 kV,,,
Other,Urban,Less Than .25 Acres,,,Transformer,Underground,Yes,Equipment/Facility Failure,Transformer,,Other,Unknown,16 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Fire Agency,16 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Customer,4 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vehicle,Outside Force,Fire Agency,66 kV,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Other,Fire Agency,4 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Other,Unknown,16 kV,,,
Other,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Underground,Yes,Other,,,Other,Fire Agency,12 kV,,,
Building,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Unknown,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Lightning Arrestor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Other,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Other,,,Unknown,Unknown,12 kV,,,
Other,Rural,Less Than .25 Acres,,,Other,Overhead,No,Vandalism/Theft,,,Other,Unknown,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,No,Equipment/Facility Failure,Splice/Clamp/Connector,,Weather,Self Extinguished,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Self Extinguished,12 kV,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Vehicle,Outside Force,Unknown,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Lightning Arrestor,,Other,Unknown,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Insulator,,Other,Fire Agency,33 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Other,Other,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Human Error,Self Extinguished,16 kV,,,
Other,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Unknown,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Vegetation,Other,Unknown,4 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Customer,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Fuse,Overhead,Yes,Equipment/Facility Failure,Transformer,,Other,Utility,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Other,Human Error,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,4 kV,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Underground,Yes,Equipment/Facility Failure,Transformer,,Unknown,Unknown,12 kV,,,
Other,Urban,Less than three (3) meters of linear travel,,,Transformer,Overhead,No,Equipment/Facility Failure,Fuse,,Other,Unknown,4 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Contact From Object,,Vegetation,Other,Unknown,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Contact From Object,,Other,Other,Fire Agency,12 kV,,,
Other,Rural,Less Than .25 Acres,,,Switch,Overhead,No,Equipment/Facility Failure,Switch,,Other,Unknown,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Equipment/Facility Failure,Switch,,Other,Utility,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Outside Force,Unknown,4 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Unknown,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Vandalism/Theft,Pole,,Other,Fire Agency,12 kV,,,
Other,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,No,Vandalism/Theft,,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Conductor,Overhead,No,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Customer,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Unknown,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Underground,No,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Utility,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Other,Unknown,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Other,Fire Agency,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Fire Agency,12 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Fire Agency,16 kV,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Human Error,Fire Agency,12 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Other,Overhead,Yes,Other,,,Other,Unknown,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Underground,Yes,Equipment/Facility Failure,Transformer,,Other,Fire Agency,12 kV,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Splice/Clamp/Connector,,Other,Unknown,12 kV,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Other,Outside Force,Fire Agency,16 kV,,,
Other,Urban,Less Than .25 Acres,,,Other,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,12 kV,,,
,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Fire Agency,16 kV,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Other,,,Human Error,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Wire-Wire Contact,Splice/Clamp/Connector,,Weather,Unknown,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Other,Fire Agency,16 kV,,,
Other,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Outside Force,Fire Agency,16 kV,,,
Other,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Outside Force,Fire Agency,16 kV,,,
Other,Urban,Less Than .25 Acres,,,Fuse,Overhead,Yes,Equipment/Facility Failure,Fuse,,Other,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Wire-Wire Contact,,,Weather,Fire Agency,12 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,No,Contact From Object,,Balloons,Outside Force,Unknown,16 kV,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,12 kV,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Unknown,16,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,4,,,
Vegetation,Urban,Less than three (3) meters of linear travel,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Wire-Wire Contact,,,Weather,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Weather,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Outside Force,Unknown,16,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Other,Fire Agency,16,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Conductor,,Other,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Weather,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Weather,Fire Agency,12,,,
Vegetation,Rural,Less than three (3) meters of linear travel,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Splice,,Unknown,Unknown,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vehicle,Outside Force,Unknown,16,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Outside Force,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Other,Unknown,33,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Unknown,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Outside Force,Unknown,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Vandalism/Theft,Conductor,,Other,Unknown,16,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Wire-Wire Contact,,,Weather,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Insulator,,Weather,Unknown,33,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Balloons,Outside Force,Unknown,16,,,
Building,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Fire Agency,12,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,16,,,
Vegetation,Rural,Less Than .25 Acres,,,Switch,Overhead,Yes,Equipment/Facility Failure,Switch,,Other,Self Extinguished,16,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Conductor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,66,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Weather,Unknown,33,,,
Vegetation,Rural,Less Than .25 Acres,,,Transformer,Underground,Yes,Equipment/Facility Failure,Transformer,,Other,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Other,,Unknown,Unknown,33,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Outside Force,Fire Agency,4.16,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Contact From Object,,Animal,Outside Force,Fire Agency,16,,,
Building,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vegetation,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Conductor,,Unknown,Unknown,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Unknown,33,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Connector,,Unknown,Fire Agency,4.16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Vegetation,Human Error,Fire Agency,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Switch,Overhead,Yes,Normal Operation,Switch,,Human Error,Fire Agency,33,,,
Vegetation,Rural,Less Than .25 Acres,,,Transformer,Overhead,No,Contact From Object,Transformer,Animal,Outside Force,Fire Agency,12,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contamination,,,Outside Force,Fire Agency,66,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Pole,,Weather,Unknown,25,,,
Vegetation,Urban,.26 - 9.99 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Insulator,,Outside Force,Fire Agency,66,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Normal Operation,Switch,,Unknown,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Unknown,4.16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,,Animal,Outside Force,Self Extinguished,220,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Other,Unknown,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Conductor,,Unknown,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Vehicle,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,Yes,Contact From Object,Lightning Arrestor,Animal,Outside Force,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Conductor,,Unknown,Fire Agency,16,,,
Vegetation,Urban,10 - 99 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Unknown,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Underground,Yes,Contact From Object,,Vehicle,Outside Force,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,No,Equipment/Facility Failure,Other,,Unknown,Fire Agency,500,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Equipment/Facility Failure,Tap,,Unknown,Fire Agency,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Overhead,Yes,Other,Pole,,Weather,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Conductor,,Unknown,Fire Agency,16,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Insulator,,Weather,Unknown,66,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Equipment/Facility Failure,Switch,,Human Error,Fire Agency,16,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Conductor,Overhead,No,Contact From Object,,Animal,Outside Force,Fire Agency,66,,,
Other,Urban,Less Than .25 Acres,,,Transformer,Overhead,Yes,Equipment/Facility Failure,Transformer,,Unknown,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Equipment/Facility Failure,Switch,,Other,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Fire Agency,12,,,
Vegetation,Rural,.26 - 9.99 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Unknown,Fire Agency,220,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Balloons,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,,Animal,Outside Force,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Transformer,Underground,No,Contact From Object,,Animal,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Switch,Overhead,Yes,Equipment/Facility Failure,Switch,,Unknown,Fire Agency,16,,,
Other,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact from Object,Conductor,Balloons,Outside Force,Unknown,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Other,Underground,Yes,Equipment/Facility Failure,Other,,Unknown,Fire Agency,4.16,,,
Structure,Urban,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Other,,Unknown,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Lightning Arrestor,Overhead,Yes,Equipment/Facility Failure,Lightning Arrestor,,Unknown,Unknown,12,,,
Vegetation,Rural,Less Than .25 Acres,,,Conductor,Underground,No,Equipment/Facility Failure,Connector,,Unknown,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,Yes,Contact From Object,Conductor,Vehicle,Outside Force,Unknown,12,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Equipment/Facility Failure,Conductor,,Unknown,Unknown,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Other,Overhead,Yes,Equipment/Facility Failure,Connector,,Unknown,Fire Agency,16,,,
Vegetation,Urban,Less Than .25 Acres,,,Conductor,Overhead,No,Contact From Object,Conductor,Vegetation,Outside Force,Fire Agency,12,,,
